Date,High,Low,Close,Volume,VolumeT
2016-10-26,21.00,20.00,20.00,23,766815
2016-10-27,20.30,20.10,20.20,7,14500
2016-10-28,20.40,20.10,20.30,7,1640
2016-10-31,20.50,20.30,20.40,16,402
2016-11-01,20.50,20.00,20.10,29,12956
2016-11-02,20.20,20.00,20.00,28,36091
2016-11-03,20.00,19.50,19.50,12,3857
2016-11-04,20.00,19.50,19.50,5,5001
2016-11-07,19.60,19.50,19.50,11,1515
2016-11-08,19.80,19.50,19.50,43,20120
2016-11-09,19.80,19.80,19.50,1,1
2016-11-10,20.20,19.50,20.00,68,2341304
2016-11-11,20.10,19.60,20.00,8,36861
2016-11-15,20.00,19.60,19.60,8,31053
2016-11-16,19.90,19.60,19.90,11,17976
2016-11-17,19.60,19.50,19.50,7,21000
2016-11-18,19.50,19.50,19.50,16,218171
2016-11-21,19.20,19.10,19.20,4,5000
2016-11-22,19.20,19.10,19.20,7,1415
2016-11-23,19.10,19.10,19.10,8,6600
2016-11-24,19.10,19.10,19.10,2,200
2016-11-25,19.70,19.10,19.40,5,700
2016-11-28,19.40,19.10,19.10,5,4270
2016-11-29,19.50,19.10,19.10,3,501
2016-11-30,19.30,19.10,19.10,10,2552
2016-12-01,19.10,19.10,19.10,2,1504
2016-12-02,19.10,19.10,19.10,3,1540
2016-12-05,19.70,19.30,19.40,12,3450
2016-12-06,19.30,19.20,19.20,3,1001
2016-12-07,19.50,19.00,19.00,12,16739

